cik,ni,ocf,rev,cogs,at,at_prev,se,fyear
39047,9472000.0,21415000.0,,,129488000.0,131944446.0,86897000.0,2013
39092,1712926.0,,,,71632791.0,69725192.0,63057204.0,2013
39263,237866000.0,,923373000.0,,24312939000.0,23124069000.0,2514161000.0,2013
39273,,,,,,123639000.0,,2013
39311,77509000.0,52070000.0,,,2209943000.0,2023867000.0,231581000.0,2013
39368,96761000.0,,,,1873028000.0,1786320000.0,930065000.0,2013
39648,47672000.0,74636000.0,,594954000.0,904020000.0,902062000.0,483043000.0,2013
39677,-9477000.0,-62437000.0,143700000.0,,466728000.0,337871000.0,301734000.0,2013
39899,388680000.0,511488000.0,1603123000.0,,9240706000.0,6379886000.0,2693098000.0,2013
39911,1280000000.0,1705000000.0,,,7849000000.0,7470000000.0,3062000000.0,2013
40194,,,,,,5584562.0,,2013
40211,169300000.0,400700000.0,1321000000.0,,6535500000.0,6055400000.0,1397000000.0,2013
40533,2357000000.0,3111000000.0,30930000000.0,25454000000.0,35473000000.0,34309000000.0,14501000000.0,2013
40545,13057000000.0,28510000000.0,113245000000.0,,663247000000.0,684999000000.0,130566000000.0,2013
40554,6204000000.0,19414000000.0,40152000000.0,,518534000000.0,541176000000.0,82694000000.0,2013
40570,-1890000.0,-1071000.0,,,10218000.0,11868000.0,2388000.0,2013
40704,1824400000.0,2541000000.0,,,23152100000.0,22952900000.0,6633400000.0,2013
40729,361000000.0,2501000000.0,4263000000.0,,150908000000.0,182347000000.0,14208000000.0,2013
40730,,-18631000.0,,,1445510000.0,1752530000.0,,2013
40888,162900000.0,77400000.0,,,1755300000.0,919300000.0,37300000.0,2013
40987,684959000.0,1056731000.0,,,7680297000.0,6807061000.0,3349074000.0,2013
41719,67158000.0,173635000.0,,,1678410000.0,1242985000.0,684476000.0,2013
42136,-75302.0,-60626.0,,,3344.0,3984.0,-535049.0,2013
42228,921829.0,,,,49180710.0,47926475.0,24122177.0,2013
42316,3783303.0,10393189.0,89204138.0,,77578988.0,57118527.0,31076732.0,2013
42582,629000000.0,938000000.0,,,17437000000.0,16973000000.0,1606000000.0,2013
42682,30104000.0,50386000.0,,,355638000.0,335183000.0,264140000.0,2013
42888,,243055000.0,,,1327228000.0,1321734000.0,,2013
43196,18288000.0,60239000.0,,,1334424000.0,1249788000.0,174010000.0,2013
43350,6671000.0,16656343.0,,,203731797.0,174463459.0,97480000.0,2013
43410,14790714.0,14666972.0,18951389.0,,15061232.0,19118714.0,10749576.0,2013
43920,144700000.0,250300000.0,,,3932300000.0,3942900000.0,1258600000.0,2013
44689,46063206.0,-8105339.0,5029969.0,,50981788.0,134518999.0,8939014.0,2013
45012,2125000000.0,4447000000.0,,,29223000000.0,27410000000.0,13581000000.0,2013
45621,,,,,,2407444.0,,2013
45876,-232848000.0,187659000.0,,,2446517000.0,2979538000.0,554462000.0,2013
45919,,59572000.0,559609000.0,,685536000.0,706212000.0,349054000.0,2013
45947,465000000.0,-365000000.0,3655000000.0,,202715000000.0,215891000000.0,8239000000.0,2013
46080,286198000.0,401132000.0,1872980000.0,,4393221000.0,4325387000.0,1682343000.0,2013
46129,,,,,170977000.0,60967000.0,48003000.0,2013
46195,150502000.0,,,,14084280000.0,13728372000.0,1011976000.0,2013
46207,,,,,,,1726406000.0,2013
46250,18094000.0,34612000.0,,,230947000.0,219873000.0,180928000.0,2013
46619,102396000.0,,,637576000.0,1523566000.0,1192521000.0,607242000.0,2013
46640,,,,,,11929104000.0,,2013
46765,736639000.0,997185000.0,,,6410587000.0,5934288000.0,4568612000.0,2013
47111,820470000.0,1191399000.0,1800000000.0,,5357488000.0,4754839000.0,1604834000.0,2013
47129,,,10775000000.0,,24516000000.0,23132000000.0,2680000000.0,2013
47217,5113000000.0,11608000000.0,55273000000.0,44754000000.0,105025000000.0,106701000000.0,27754000000.0,2013
47307,138805.0,685922.0,6466172.0,,3181813.0,3588517.0,2428732.0,2013
47518,105000000.0,263200000.0,1716200000.0,,1527400000.0,1615000000.0,838400000.0,2013
48039,735842000.0,869174000.0,,,10055763000.0,10328997000.0,5999620000.0,2013
48287,63683000.0,165002000.0,,,1134705000.0,1077066000.0,436328000.0,2013
48465,526211000.0,,,,5067170000.0,4622830000.0,3417754000.0,2013
48732,269000000.0,928000000.0,2577000000.0,,9611000000.0,11119000000.0,1250000000.0,2013
48898,326500000.0,381800000.0,,,3184000000.0,2947000000.0,1906400000.0,2013
49071,1231000000.0,1716000000.0,41313000000.0,,20735000000.0,19979000000.0,9316000000.0,2013
49196,641282000.0,1013245000.0,,,59467174000.0,56141474000.0,6090153000.0,2013
49534,-2454105.0,-2343287.0,15686239.0,,30900293.0,39329378.0,24972099.0,2013
49600,,109750000.0,202171000.0,,1473412000.0,1354102000.0,513998000.0,2013
49615,-7499000.0,,,,55515000.0,60566000.0,37449000.0,2013
49728,-9530000.0,-4338000.0,,,83455000.0,87693000.0,30763000.0,2013
49754,72037000.0,127815000.0,640467000.0,270775000.0,2366757000.0,2415400000.0,315179000.0,2013
49826,,2528000000.0,,,19599000000.0,19309000000.0,,2013
50104,412000000.0,859000000.0,,,13316000000.0,10702000000.0,4302000000.0,2013
50292,1453707.0,1670287.0,,,10654188.0,9209933.0,,2013
50471,257487.0,-149064.0,,,16948221.0,12068944.0,11072847.0,2013
50493,20795890.0,145200682.0,,,1653722606.0,1669328000.0,416556857.0,2013
50725,3767000.0,,,,1752159000.0,1760846000.0,595093000.0,2013
50863,9620000000.0,,,,92358000000.0,84351000000.0,58256000000.0,2013
50957,,,,,,618441000.0,,2013
51011,-10921.0,-35533.0,,,215797.0,,190432.0,2013
51143,,,98367000000.0,49683000000.0,125641000000.0,119213000000.0,22792000000.0,2013
51253,353544000.0,407562000.0,,,3331731000.0,3246192000.0,1463072000.0,2013
